Запуск: 31.08.2026, 09:36:18
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-31_09-36-18-548
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-31_09-36-18-548\console.txt
Курс: Матричная алгебра для начинающих
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[78/100] SDU University ... success_verified | курсов: 38 → 39
[79/100] Алматинский гуманитарно-экономический университет ... success_submitted | курсов: 38 → 39
[80/100] Екибастузский инженерно-технический институт имени К.И. Сатпаева ... success_submitted | курсов: 38 → 39
[81/100] Казахский автомобильно-дорожный институт имени Л.Б. Гончарова ... success_submitted | курсов: 38 → 39
[82/100] Кокшетауский университет имени А. Мырзахметова ... success_verified | курсов: 38 → 39
[83/100] Костанайский социально-технический университет имени академика Зулхарнай Алдамжар ... success_submitted | курсов в коллекции: 39
[84/100] Международный казахско-турецкий университет имени Х.А.Ясави ... success_submitted | курсов: 38 → 39
[85/100] Международный Таразский инновационный институт имени Ш.Муртазы ... success_submitted | курсов: 38 → 39
[86/100] Региональный инновационный университет ... success_submitted | курсов: 38 → 39
[87/100] Университет «Мирас» ... success_submitted | курсов: 38 → 39
[88/100] Университет «Туран» ... success_submitted | курсов: 38 → 39
[89/100] Университет «Туран-Астана» ... success_submitted | курсов: 38 → 39
[90/100] Университет дружбы народов имени академика А. Куатбекова ... success_verified | курсов: 38 → 39
[91/100] Евразийский гуманитарный институт имени А.Кусаинова ... success_submitted | курсов: 38 → 39
[92/100] Alikhan Bokeikhan University ... success_verified | курсов: 38 → 39
[93/100] Казахстанско-Немецкий университет в Алматы ... success_submitted | курсов: 38 → 39
[94/100] Каспийский общественный университет ... success_verified | курсов: 38 → 39
[95/100] Западно-Казахстанский инновационно-технологический университет ... success_submitted | курсов: 38 → 39
[96/100] Академия «Bolashaq» ... success_submitted | курсов: 38 → 39
[97/100] Карагандинский университет Казпотребсоюза ... success_submitted | курсов: 38 → 39
[98/100] Костанайский инженерно-экономический университет имени М. Дулатова ... success_submitted | курсов: 38 → 39
[99/100] Центрально-Казахстанская академия ... success_submitted | курсов: 38 → 39
[100/100] Шымкентский университет ... success_submitted | курсов: 38 → 39

Итог: { success_submitted: 80, success_verified: 20 }
Отчет Excel: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-31_09-36-18-548\report.xlsx
Лог консоли UTF-8: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-31_09-36-18-548\console.txt
