Запуск: 24.08.2026, 17:51:37
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-24_17-51-37-943
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-24_17-51-37-943\console.txt
Курс: Неміс тілі (А1 деңгейі)
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[78/100] SDU University ... success_submitted | курсов: 36 → 37
[79/100] Алматинский гуманитарно-экономический университет ... success_submitted | курсов: 36 → 37
[80/100] Екибастузский инженерно-технический институт имени К.И. Сатпаева ... success_verified | курсов: 36 → 37
[81/100] Казахский автомобильно-дорожный институт имени Л.Б. Гончарова ... success_verified | курсов: 36 → 37
[82/100] Кокшетауский университет имени А. Мырзахметова ... success_submitted | курсов: 36 → 37
[83/100] Костанайский социально-технический университет имени академика Зулхарнай Алдамжар ... ERROR: Не найден кликабельный элемент: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
[84/100] Международный казахско-турецкий университет имени Х.А.Ясави ... success_submitted | курсов: 36 → 37
[85/100] Международный Таразский инновационный институт имени Ш.Муртазы ... success_submitted | курсов: 36 → 37
[86/100] Региональный инновационный университет ... success_verified | курсов: 36 → 37
[87/100] Университет «Мирас» ... success_submitted | курсов: 36 → 37
[88/100] Университет «Туран» ... success_submitted | курсов: 36 → 37
[89/100] Университет «Туран-Астана» ... success_submitted | курсов: 36 → 37
[90/100] Университет дружбы народов имени академика А. Куатбекова ... success_submitted | курсов: 36 → 37
[91/100] Евразийский гуманитарный институт имени А.Кусаинова ... success_submitted | курсов: 36 → 37
[92/100] Alikhan Bokeikhan University ... success_submitted | курсов: 36 → 37
[93/100] Казахстанско-Немецкий университет в Алматы ... success_submitted | курсов: 36 → 37
[94/100] Каспийский общественный университет ... success_submitted | курсов: 36 → 37
[95/100] Западно-Казахстанский инновационно-технологический университет ... success_verified | курсов: 36 → 37
[96/100] Академия «Bolashaq» ... success_submitted | курсов: 36 → 37
[97/100] Карагандинский университет Казпотребсоюза ... success_submitted | курсов: 36 → 37
[98/100] Костанайский инженерно-экономический университет имени М. Дулатова ... success_submitted | курсов: 36 → 37
[99/100] Центрально-Казахстанская академия ... success_submitted | курсов: 36 → 37
[100/100] Шымкентский университет ... success_submitted | курсов: 36 → 37

Итог: { success_verified: 17, success_submitted: 82, error: 1 }
Отчет Excel: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-24_17-51-37-943\report.xlsx
Лог консоли UTF-8: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-08-24_17-51-37-943\console.txt
