Запуск: 10.09.2026, 12:29:15
Команда: node add-course.js 
Папка запуска: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-10_12-29-15-075
Лог консоли: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-10_12-29-15-075\console.txt
Курс: Аспан әлемін танудың алғашқы қадамдары
Коллекция: Қазақстандық университеттердің курстары / Курсы казахстанских вузов
Программ к обработке: 100
Режим: ДОБАВЛЕНИЕ
[1/100] Академия Комитета национальной безопасности ... ERROR: Не найдена кнопка Search / «Поиск» | курсов в коллекции: 40
[77/100] Q University ... success_submitted | курсов: 40 → 41
[78/100] SDU University ... success_submitted | курсов: 40 → 41
[79/100] Алматинский гуманитарно-экономический университет ... success_submitted | курсов: 40 → 41
[80/100] Екибастузский инженерно-технический институт имени К.И. Сатпаева ... success_submitted | курсов: 40 → 41
[81/100] Казахский автомобильно-дорожный институт имени Л.Б. Гончарова ... success_submitted | курсов: 40 → 41
[82/100] Кокшетауский университет имени А. Мырзахметова ... success_submitted | курсов: 40 → 41
[83/100] Костанайский социально-технический университет имени академика Зулхарнай Алдамжар ... success_verified | курсов: 40 → 41
[84/100] Международный казахско-турецкий университет имени Х.А.Ясави ... success_submitted | курсов: 40 → 41
[85/100] Международный Таразский инновационный институт имени Ш.Муртазы ... success_verified | курсов: 40 → 41
[86/100] Региональный инновационный университет ... success_submitted | курсов: 40 → 41
[87/100] Университет «Мирас» ... success_submitted | курсов: 40 → 41
[88/100] Университет «Туран» ... success_verified | курсов: 40 → 41
[89/100] Университет «Туран-Астана» ... success_submitted | курсов: 40 → 41
[90/100] Университет дружбы народов имени академика А. Куатбекова ... success_verified | курсов: 40 → 41
[91/100] Евразийский гуманитарный институт имени А.Кусаинова ... success_submitted | курсов: 40 → 41
[92/100] Alikhan Bokeikhan University ... success_submitted | курсов: 40 → 41
[93/100] Казахстанско-Немецкий университет в Алматы ... success_submitted | курсов: 40 → 41
[94/100] Каспийский общественный университет ... success_submitted | курсов: 40 → 41
[95/100] Западно-Казахстанский инновационно-технологический университет ... success_submitted | курсов: 40 → 41
[96/100] Академия «Bolashaq» ... success_verified | курсов: 40 → 41
[97/100] Карагандинский университет Казпотребсоюза ... success_verified | курсов: 40 → 41
[98/100] Костанайский инженерно-экономический университет имени М. Дулатова ... success_submitted | курсов: 40 → 41
[99/100] Центрально-Казахстанская академия ... success_verified | курсов: 40 → 41
[100/100] Шымкентский университет ... success_submitted | курсов: 40 → 41

Итог: { error: 1, success_submitted: 78, success_verified: 21 }
Отчет Excel: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-10_12-29-15-075\report.xlsx
Лог консоли UTF-8: C:\Users\123\Desktop\coursera-bulk-course-adder\reports\ДОБАВЛЕНИЕ_2026-09-10_12-29-15-075\console.txt
